File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\extensions\booster\components\Booster.php,566,209,136,40,103,1,254,1140,0,0
C:\wamp\www\internship\protected\extensions\booster\components\JSONStorage.php,420,202,115,47,37,2,181,652,0,0
C:\wamp\www\internship\protected\extensions\booster\components\packages.php,169,155,1,1,2,9,12,107,0,0
C:\wamp\www\internship\protected\extensions\booster\components\TbEditableSaver.php,273,106,64,9,26,0,141,386,0,0
C:\wamp\www\internship\protected\extensions\booster\filters\BoosterFilter.php,34,7,4,1,5,0,22,66,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\BootstrapCode.php,57,38,29,11,6,0,13,50,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\BootstrapGenerator.php,20,6,3,0,2,0,12,34,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\admin.php,73,61,19,4,8,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\controller.php,184,108,40,12,20,7,56,341,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\create.php,25,17,3,0,4,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\index.php,27,19,3,0,4,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\update.php,28,21,6,0,3,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\view.php,38,30,7,0,4,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\_form.php,36,26,3,1,6,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\_search.php,30,23,3,1,3,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\_view.php,28,22,12,3,2,0,4,17,0,0
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\views\index.php,73,62,15,2,7,0,4,11,0,0
C:\wamp\www\internship\protected\extensions\booster\helpers\TbHtml.php,4081,2184,1486,391,317,10,1580,8095,0,0
C:\wamp\www\internship\protected\extensions\booster\userdoc\ckeditor\example.basic.php,8,7,1,0,1,1,0,5,0,5
C:\wamp\www\internship\protected\extensions\booster\userdoc\ckeditor\example.trimmed.php,12,10,1,0,1,1,1,13,0,5
C:\wamp\www\internship\protected\extensions\booster\userdoc\highcharts\example.basic.php,14,13,1,0,1,1,0,4,0,4
C:\wamp\www\internship\protected\extensions\booster\userdoc\highcharts\example.function_in_options.php,20,19,3,1,1,1,0,8,0,8
C:\wamp\www\internship\protected\extensions\booster\userdoc\highcharts\example.official_demo.php,62,61,1,0,1,2,0,9,0,8
C:\wamp\www\internship\protected\extensions\booster\userdoc\highcharts\example.zeros_in_data.php,19,18,1,0,1,1,0,7,0,7
C:\wamp\www\internship\protected\extensions\booster\userdoc\redactorjs\example.basic.php,9,8,1,0,1,1,0,5,0,5
C:\wamp\www\internship\protected\extensions\booster\userdoc\redactorjs\example.callbacks_passing.php,17,16,4,0,1,1,0,5,0,5
C:\wamp\www\internship\protected\extensions\booster\userdoc\redactorjs\example.with_lang_and_plugins.php,13,12,1,0,1,1,0,5,0,5
C:\wamp\www\internship\protected\extensions\booster\userdoc\select2\574.php,27,26,5,0,1,1,0,10,0,10
C:\wamp\www\internship\protected\extensions\booster\userdoc\select2\574_noform.php,32,31,10,1,1,2,0,16,0,10
C:\wamp\www\internship\protected\extensions\booster\userdoc\select2\basic.php,17,14,1,0,3,1,0,5,0,5
C:\wamp\www\internship\protected\extensions\booster\userdoc\select2\empty_data.php,14,12,1,0,2,1,0,6,0,6
C:\wamp\www\internship\protected\extensions\booster\views\fileupload\download.php,30,29,18,0,1,0,0,0,0,0
C:\wamp\www\internship\protected\extensions\booster\views\fileupload\form.php,55,47,2,1,2,0,6,24,0,0
C:\wamp\www\internship\protected\extensions\booster\views\fileupload\upload.php,32,31,22,0,1,0,0,0,0,0
C:\wamp\www\internship\protected\extensions\booster\views\gallery\preview.php,35,28,0,0,0,0,7,17,0,0
C:\wamp\www\internship\protected\extensions\booster\widgets\TbActiveForm.php,1452,480,360,110,236,4,736,4307,0,0
